label,bin_time_s,naive_time_s,naive_cv_pct,naive_stable,naive_mem_kb,naive_D,naive_R2,opt_time_s,opt_total_time_s,opt_cv_pct,opt_stable,opt_mem_kb,opt_D,opt_R2,threshold_sensitivity,method,naive_lacunarity,opt_lacunarity
malignant,0.0017222899999751462,0.16184833888886865,2.0423621236715572,True,0.3671875,1.866175821934573,0.9993817060278497,0.24684621844445095,0.2485685084444261,0.6179671327412418,True,5376.560546875,1.866175821934573,0.9993817060278497,0.1115515555892479,BC,,
malignant,0.0019392699999798424,0.13777576966665744,1.1858474653907027,True,0.3671875,1.898238947027737,0.9994959134270042,0.2457186562222407,0.24765792622222055,1.0161418192459983,True,5376.560546875,1.898238947027737,0.9994959134270042,0.12127792403735094,BC,,
malignant,0.0017518500000051063,0.14388080099999773,0.8110954362232784,True,0.3671875,1.9194949603054234,0.9999716037538885,0.24171355644441267,0.24346540644441778,0.9267662886885167,True,5376.5107421875,1.9194949603054234,0.9999716037538885,0.03256664934618514,BC,,
malignant,0.0019833199999652606,0.27309738866670663,3.7677486407936405,True,0.3671875,1.6967073985845667,0.9983926832880503,0.24563264733334714,0.2476159673333124,0.864115827697644,True,5376.5107421875,1.6967073985845667,0.9983926832880503,0.14949945608764814,BC,,
malignant,0.002013760000011189,0.32797241777777547,0.9379422688523199,True,0.3671875,1.6422148431466326,0.9995058030245522,0.24406013311105804,0.24607389311106923,1.0474851820981024,True,5376.5107421875,1.6422148431466326,0.9995058030245522,0.14516120212813988,BC,,
malignant,0.0017644499999960317,0.19739386266663436,0.8867142981073467,True,0.3671875,1.7979756297667935,0.9984431048970104,0.2420711284443971,0.24383557844439313,1.0775584675090175,True,5376.5107421875,1.7979756297667935,0.9984431048970104,0.09910746779950341,BC,,
benign,0.0058097300000099494,2.752546593444448,1.1473439756155235,,0.3984375,-2.0003195360239605,0.9999992764308129,0.046997558724138674,0.052807288724148624,5.98644763660054,,5376.5654296875,-2.0003195360239605,0.9999992764308129,0.0012909021200373516,GB,0.29885676908099645,0.29885676908099645
benign,0.003184928999985459,2.7318127617778223,0.4626609766302439,,0.3359375,-1.9858710983561199,0.9999896601570728,0.0488677449310248,0.052052673931010256,7.194915389867703,,5376.615234375,-1.9858710983561199,0.9999896601570728,0.006494989555921871,GB,0.7332050780686195,0.7332050780686195
benign,0.0018379800000047908,2.7289688941111256,0.830822997586517,,0.3359375,-2.0036115712062323,0.9999991992467228,0.04311822133331589,0.04495620133332068,4.432745562939427,,5376.615234375,-2.0036115712062323,0.9999991992467228,0.0010210032801829527,GB,0.28651383104478473,0.28651383104478473
benign,0.0015827889999968647,2.7499651986666374,0.5761570558812761,,0.3359375,-1.9992848070110325,0.9999979745927545,0.048749931793124764,0.05033272079312163,8.907177030163766,,5376.5654296875,-1.9992848070110325,0.9999979745927545,0.00230736468281334,GB,0.6139533071871079,0.6139533071871079
benign,0.0016093600000317565,2.7354776682222006,0.727275782910504,,0.3359375,-1.9876059199232625,0.9999909419706468,0.04301362772410608,0.044622987724137836,5.964995287087329,,5376.5654296875,-1.9876059199232625,0.9999909419706468,0.003349429550241645,GB,0.39175950394364184,0.39175950394364184
benign,0.0015077400000222951,2.7023675255555997,0.42863501555866507,,0.3359375,-1.9935555434900678,0.9999968896388122,0.046321565555546035,0.04782930555556833,4.323195033235427,,5376.5654296875,-1.9935555434900678,0.9999968896388122,0.0026113098992219808,GB,0.6331232981883878,0.6331232981883878
benign,0.001455190000001494,2.7439036888889254,0.6848460770704055,,0.3359375,-1.994915884820458,0.9999969749467805,0.05043311624138306,0.05188830624138455,9.743434282440623,,5376.5654296875,-1.994915884820458,0.9999969749467805,0.0005358671064050746,GB,0.3104899760278768,0.3104899760278768
benign,0.0014725300000009156,2.869758377222171,1.3366104533935714,,0.3359375,-1.9871464666962473,0.9999922743327686,0.05331085889654254,0.05478338889654345,10.490128749251966,,5376.615234375,-1.9871464666962473,0.9999922743327686,0.0033687115034193305,GB,0.5151582956922894,0.5151582956922894
benign,0.0014763599999696453,2.7513561828888617,0.7784223098031973,,0.3359375,-1.9933824842319428,0.999997906628596,0.04493837455558807,0.04641473455555772,2.754782058706112,,5376.5654296875,-1.9933824842319428,0.999997906628596,0.0030326379217366917,GB,0.5676647087951148,0.5676647087951148
benign,0.0014965500000130305,2.7344773013333503,0.9858074423595719,,0.3359375,-1.993550434535207,0.9999981609741944,0.045224310222187744,0.046720860222200775,4.132884446329329,,5376.615234375,-1.993550434535207,0.9999981609741944,0.0015898352525232085,GB,0.6307015888995244,0.6307015888995244
benign,0.0015417100000263417,2.7137789539999884,0.47543548502058075,,0.3359375,-1.9928853562542344,0.9999971943169057,0.045260614066683046,0.04680232406670939,4.99263847821897,,5376.5654296875,-1.9928853562542344,0.9999971943169057,0.0024057505972447935,GB,0.3510324491207672,0.3510324491207672
benign,0.0015566200000307617,2.6974649382222093,0.49985462495009525,,0.3359375,-1.992402007655773,0.9999978395992171,0.04468705639997097,0.04624367640000173,4.915899403699185,,5376.5654296875,-1.992402007655773,0.9999978395992171,0.0029496357144389584,GB,0.5504859761148765,0.5504859761148765
benign,0.0015282200000115154,2.720464531333366,0.496764321032516,,0.3359375,-1.979977011097397,0.9999758153918464,0.043436117222250284,0.0449643372222618,2.9644964065972292,,5376.615234375,-1.979977011097397,0.9999758153918464,0.005803110377925913,GB,0.5055873803610993,0.5055873803610993
benign,0.0017216500000358792,2.7035073968889063,0.5385025337315814,,0.3359375,-1.9924404486455638,0.9999967088379719,0.04297211066664709,0.04469376066668297,2.247840527093802,,5376.615234375,-1.9924404486455638,0.9999967088379719,0.0020440745063963206,GB,0.16327159322558402,0.16327159322558402
benign,0.0014695300000084899,2.7086299502222015,0.418329977710222,,0.3359375,-1.994110889348427,0.999997384126872,0.04584657599999947,0.04731610600000796,5.713994303226237,,5376.5654296875,-1.994110889348427,0.999997384126872,0.004360790087766686,GB,0.4328973697843857,0.4328973697843857
